character_name_zh,catalog_name_zh,hoyowiki_entry_id,hoyowiki_detail_page_url,source_type,source_page_url,source_image_url,local_path,image_format,mime_type,http_content_type,width,height,file_size_bytes,sha256,has_alpha_channel,duplicate_of,status,error
北斗,北斗,11,https://wiki.hoyolab.com/pc/genshin/entry/11?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/11?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/北斗/avatar.png,Characters/Illustrations/Wish/北斗_11.png,PNG,image/png,image/png,1528,1283,247712,f31983adcf11e5a735b6829e65fe47aa8dc8638d4ffa16422ac8f87d62202c32,true,,success,
可莉,可莉,12,https://wiki.hoyolab.com/pc/genshin/entry/12?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/12?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/可莉/avatar.png,Characters/Illustrations/Wish/可莉_12.png,PNG,image/png,image/png,1069,1245,224582,dbccda8634f966145991df4fc0fbcb4cec288182d4770ec82ec8e8fa5cfb7d15,true,,success,
埃洛伊,埃洛伊,13,https://wiki.hoyolab.com/pc/genshin/entry/13?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/13?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/埃洛伊/avatar.png,Characters/Illustrations/Wish/埃洛伊_13.png,PNG,image/png,image/png,1488,1491,421496,7fcbe5ce1f55b9a54047ac2cdeed4746602c352c31beb564ca195e10d31bcd77,true,,success,
安柏,安柏,14,https://wiki.hoyolab.com/pc/genshin/entry/14?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/14?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/安柏/avatar.png,Characters/Illustrations/Wish/安柏_14.png,PNG,image/png,image/png,1528,1283,238794,ee143808a8c47be19689019d684dc72e4442b467b21b3e95a5c499c93d515780,true,,success,
宵宫,宵宫,15,https://wiki.hoyolab.com/pc/genshin/entry/15?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/15?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/宵宫/avatar.png,Characters/Illustrations/Wish/宵宫_15.png,PNG,image/png,image/png,1875,1683,545121,ffcd70191308990f53bb7ca5201f74c5389d05e72a07cb03c4dd789367e13c54,true,,success,
托马,托马,16,https://wiki.hoyolab.com/pc/genshin/entry/16?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/16?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/托马/avatar.png,Characters/Illustrations/Wish/托马_16.png,PNG,image/png,image/png,1488,1285,323880,a151ca09f55da1e3bd402a15c1d77e53198d0ad1365f96f5aa45f709354d6eb8,true,,success,
旅行者,旅行者,20,https://wiki.hoyolab.com/pc/genshin/entry/20?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/20?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/旅行者（无属性）/avatar.png,Characters/Illustrations/Wish/旅行者_20.png,PNG,image/png,image/png,1322,1382,349449,0cd991a6d1f8563d32a6e296940b0ccff06eb55f590f159c84e3810d53ad7364,true,,success,
早柚,早柚,21,https://wiki.hoyolab.com/pc/genshin/entry/21?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/21?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/早柚/avatar.png,Characters/Illustrations/Wish/早柚_21.png,PNG,image/png,image/png,1804,1343,230752,644e388b9691fa67dfd987cf35c35d4ddc10267fe71de6b14603b2254c97fe9c,true,,success,
枫原万叶,枫原万叶,22,https://wiki.hoyolab.com/pc/genshin/entry/22?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/22?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/10/11/47826599/5b58088cd334f8f4e98495571afb03c9_2660311011997801259.png,Characters/Illustrations/Wish/枫原万叶_22.png,PNG,image/png,image/png,1310,1200,1001118,959ed1591f13d1a3fbab1e95b15abba66b3559a158f867cbc7ed9c0a5f22c3e3,true,,success,
温迪,温迪,23,https://wiki.hoyolab.com/pc/genshin/entry/23?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/23?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/温迪/avatar.png,Characters/Illustrations/Wish/温迪_23.png,PNG,image/png,image/png,2000,2000,8028474,262dea808184dc3c5afe4554bb47f57eaba7688da2dfd05cbcb7629d719785fb,true,,success,
烟绯,烟绯,24,https://wiki.hoyolab.com/pc/genshin/entry/24?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/24?lang=zh-cn,https://act-upload.hoyoverse.com/event-ugc-hoyowiki/2024/04/01/327628065/a98a1a2d52ea4b56625fc22a86ba8c7c_9106643142173444613.png,Characters/Illustrations/Wish/烟绯_24.png,PNG,image/png,image/png,1200,1103,1049959,f477ea53ed2bd24b7277271b455e16cc00cf9f4472665b75d415d8d605fd2b8b,true,,success,
珊瑚宫心海,珊瑚宫心海,25,https://wiki.hoyolab.com/pc/genshin/entry/25?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/25?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/珊瑚宫心海/avatar.png,Characters/Illustrations/Wish/珊瑚宫心海_25.png,PNG,image/png,image/png,1568,1553,476107,935da197f5bf359d9268fb615b827fcc0c17a41fe7dd30f983e7765afd054a0f,true,,success,
班尼特,班尼特,26,https://wiki.hoyolab.com/pc/genshin/entry/26?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/26?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/班尼特/avatar.png,Characters/Illustrations/Wish/班尼特_26.png,PNG,image/png,image/png,2000,1834,6348980,9b9b956279e8cca435bb83198e874be06c94b74ee66174217769513aa1e424ca,true,,success,
琴,琴,27,https://wiki.hoyolab.com/pc/genshin/entry/27?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/27?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/琴/avatar.png,Characters/Illustrations/Wish/琴_27.png,PNG,image/png,image/png,2000,1936,11281612,6dc954a0c0089907ffa4448defa07100e1664b6c48a2abb4941403a6e191aa3b,true,,success,
甘雨,甘雨,28,https://wiki.hoyolab.com/pc/genshin/entry/28?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/28?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/甘雨/avatar.png,Characters/Illustrations/Wish/甘雨_28.png,PNG,image/png,image/png,1560,1560,397028,8ec30473a051237c51bdb6dde62d65294eb99de6b10717cd6f8fe2223683a2ec,true,,success,
申鹤,申鹤,29,https://wiki.hoyolab.com/pc/genshin/entry/29?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/29?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/申鹤/avatar.png,Characters/Illustrations/Wish/申鹤_29.png,PNG,image/png,image/png,1968,1920,603554,b413012278a5ed06394ecc10c536e0358c9a9330e5180e69dc20784c383427b3,true,,success,
砂糖,砂糖,30,https://wiki.hoyolab.com/pc/genshin/entry/30?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/30?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/砂糖/avatar.png,Characters/Illustrations/Wish/砂糖_30.png,PNG,image/png,image/png,1533,1404,255978,9a0cb3d454ba4f6d75a193d140775f4b538c7f6dadd9507452bebd243f650480,true,,success,
神里绫人,神里绫人,31,https://wiki.hoyolab.com/pc/genshin/entry/31?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/31?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/神里绫人/avatar.png,Characters/Illustrations/Wish/神里绫人_31.png,PNG,image/png,image/png,1680,1680,532137,2c1908272cfed67bcd8f7379769cad113448e4294aeeec92ce50b682fe9aae0f,true,,success,
神里绫华,神里绫华,32,https://wiki.hoyolab.com/pc/genshin/entry/32?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/32?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/神里绫华/avatar.png,Characters/Illustrations/Wish/神里绫华_32.png,PNG,image/png,image/png,1919,1576,554357,41dfb58d3ee5d30a33189efab122148fee51d6fb2c52382989266ef0f8e5c787,true,,success,
罗莎莉亚,罗莎莉亚,33,https://wiki.hoyolab.com/pc/genshin/entry/33?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/33?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/罗莎莉亚/avatar.png,Characters/Illustrations/Wish/罗莎莉亚_33.png,PNG,image/png,image/png,1443,1284,336720,02ee90bc11ab3565f63c95105d7ad0501b42751a2e57dbaeee62789d8e0df6ab,true,,success,
胡桃,胡桃,34,https://wiki.hoyolab.com/pc/genshin/entry/34?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/34?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/胡桃/avatar.png,Characters/Illustrations/Wish/胡桃_34.png,PNG,image/png,image/png,2153,1772,592422,551f32beecb3263e395a57a85628dc54c041900b18ec20c023bae04b1b1cbc47,true,,success,
芭芭拉,芭芭拉,35,https://wiki.hoyolab.com/pc/genshin/entry/35?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/35?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/芭芭拉/avatar.png,Characters/Illustrations/Wish/芭芭拉_35.png,PNG,image/png,image/png,1528,1283,229864,926fa237e59b42eaa472fa6de1bada9c0a88e6d3d20d630b377487622aa2df2f,true,,success,
荒泷一斗,荒泷一斗,36,https://wiki.hoyolab.com/pc/genshin/entry/36?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/36?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/荒泷一斗/avatar.png,Characters/Illustrations/Wish/荒泷一斗_36.png,PNG,image/png,image/png,1576,1286,460016,4116efebbac9bee93c78b3327009057931a4f88f3d93941a298e9a6927e88cde,true,,success,
莫娜,莫娜,37,https://wiki.hoyolab.com/pc/genshin/entry/37?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/37?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/莫娜/avatar.png,Characters/Illustrations/Wish/莫娜_37.png,PNG,image/png,image/png,1560,1560,474264,7c756c594723c1966fec9affedfadd2cc14ae3b00f2f03bb2826ba3262f0c3e6,true,,success,
菲谢尔,菲谢尔,38,https://wiki.hoyolab.com/pc/genshin/entry/38?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/38?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/菲谢尔/avatar.png,Characters/Illustrations/Wish/菲谢尔_38.png,PNG,image/png,image/png,1340,1607,261972,b0f5c16d414b22309bd9a812b49ab24d5fae0306383b57a93dc78754ffd08dc3,true,,success,
行秋,行秋,39,https://wiki.hoyolab.com/pc/genshin/entry/39?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/39?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/行秋/avatar.png,Characters/Illustrations/Wish/行秋_39.png,PNG,image/png,image/png,1412,1411,226150,0ed40ae66f1281d4aa2d30a597e2e973f8165a404655f215e01ba163d4b24f0a,true,,success,
诺艾尔,诺艾尔,40,https://wiki.hoyolab.com/pc/genshin/entry/40?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/40?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/诺艾尔/avatar.png,Characters/Illustrations/Wish/诺艾尔_40.png,PNG,image/png,image/png,1255,1175,220334,ff780b46bf809f63be7d5ba721249427c31ea5ffbe96b6ecb1197e6b9bb4c11d,true,,success,
辛焱,辛焱,41,https://wiki.hoyolab.com/pc/genshin/entry/41?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/41?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/辛焱/avatar.png,Characters/Illustrations/Wish/辛焱_41.png,PNG,image/png,image/png,1680,1680,496641,5eb3c6c0c3cc21f2f04473669526186f8948661c30007f16d0128bea4799766a,true,,success,
达达利亚,达达利亚,42,https://wiki.hoyolab.com/pc/genshin/entry/42?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/42?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/达达利亚/avatar.png,Characters/Illustrations/Wish/达达利亚_42.png,PNG,image/png,image/png,1692,1666,517614,378696cbde1b430d80fd8ea88d3d648343f5e9c0cbab115dd7b0a4fdc355c43c,true,,success,
迪卢克,迪卢克,43,https://wiki.hoyolab.com/pc/genshin/entry/43?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/43?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/迪卢克/avatar.png,Characters/Illustrations/Wish/迪卢克_43.png,PNG,image/png,image/png,1252,1471,308192,5c67d7596940a6d6e6878bd0d9187bbd3956fbbbc0d1ba6e0ffc0fcb442e3f30,true,,success,
迪奥娜,迪奥娜,44,https://wiki.hoyolab.com/pc/genshin/entry/44?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/44?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/迪奥娜/avatar.png,Characters/Illustrations/Wish/迪奥娜_44.png,PNG,image/png,image/png,1189,1207,211674,7f2266a3be3a27667e142d6885a18790228460411dbdae2022e633baaeaa318e,true,,success,
重云,重云,45,https://wiki.hoyolab.com/pc/genshin/entry/45?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/45?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/重云/avatar.png,Characters/Illustrations/Wish/重云_45.png,PNG,image/png,image/png,1528,1283,386392,6a384aaaff6b5232e66381fc4ac7088e4b3cbd0fc89aa30bd7ce8ac089022207,true,,success,
钟离,钟离,46,https://wiki.hoyolab.com/pc/genshin/entry/46?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/46?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/钟离/avatar.png,Characters/Illustrations/Wish/钟离_46.png,PNG,image/png,image/png,1222,1542,501551,eb59698dc1fa9b1e8e0b959cdc9ecd52bdb9cc49ed7941f6a5ac5a7645a94256,true,,success,
阿贝多,阿贝多,47,https://wiki.hoyolab.com/pc/genshin/entry/47?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/47?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/阿贝多/avatar.png,Characters/Illustrations/Wish/阿贝多_47.png,PNG,image/png,image/png,1901,1996,583602,7b01ab988a44539f643d1a56004f78c55566df7e7deaaddb05a99cda125a543c,true,,success,
雷泽,雷泽,48,https://wiki.hoyolab.com/pc/genshin/entry/48?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/48?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/雷泽/avatar.png,Characters/Illustrations/Wish/雷泽_48.png,PNG,image/png,image/png,1680,1569,396478,d82f080316ea588fe70c97a08a0fe314d771afd6bdc73c6e17575192d80f0fcf,true,,success,
雷电将军,雷电将军,49,https://wiki.hoyolab.com/pc/genshin/entry/49?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/49?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/雷电将军/avatar.png,Characters/Illustrations/Wish/雷电将军_49.png,PNG,image/png,image/png,1604,1494,543737,47e66a1dcef2539a472d9f69c4cdd35a9cda303155eca28f769a6769144c8601,true,,success,
香菱,香菱,50,https://wiki.hoyolab.com/pc/genshin/entry/50?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/50?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/香菱/avatar.png,Characters/Illustrations/Wish/香菱_50.png,PNG,image/png,image/png,2000,1340,7459366,6496bf16739e389b2a295c0900c34a084f7cc90ea8455f0393c5e7a1c1a4f432,true,,success,
魈,魈,51,https://wiki.hoyolab.com/pc/genshin/entry/51?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/51?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/魈/avatar.png,Characters/Illustrations/Wish/魈_51.png,PNG,image/png,image/png,1680,1680,419985,3b0dfe4bc0675591874fc3181e24ff38c64ae2aff987c64ca8d58ee0a955de1f,true,,success,
夜兰,夜兰,2252,https://wiki.hoyolab.com/pc/genshin/entry/2252?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2252?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/夜兰/avatar.png,Characters/Illustrations/Wish/夜兰_2252.png,PNG,image/png,image/png,1200,1200,583602,415727226e6fd9e15042c69c925848ed80b39701ffe954f35b91d59437d9176f,true,,success,
久岐忍,久岐忍,2256,https://wiki.hoyolab.com/pc/genshin/entry/2256?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2256?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/久岐忍/avatar.png,Characters/Illustrations/Wish/久岐忍_2256.png,PNG,image/png,image/png,1200,1200,583602,2bde21a8c7324e0c77448d0021e1b9a58dcc89539765b7cbd830e430a679f832,true,,success,
鹿野院平藏,鹿野院平藏,2263,https://wiki.hoyolab.com/pc/genshin/entry/2263?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2263?lang=zh-cn,https://bbs.hoyolab.com/hoyowiki/picture/character/鹿野院平藏/avatar.png,Characters/Illustrations/Wish/鹿野院平藏_2263.png,PNG,image/png,image/png,1000,1000,897931,d5d18abf635b684606b6656ad161abd6669f68bc0c29f8903bdbf0d773ee3a72,true,,success,
提纳里,提纳里,2265,https://wiki.hoyolab.com/pc/genshin/entry/2265?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2265?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/08/24/47826599/58942db439a058f4611f27d8193f681b_7054624527866009858.png,Characters/Illustrations/Wish/提纳里_2265.png,PNG,image/png,image/png,1200,1200,1655557,d9ac9fadc9ba34cd93d3295cb53cb850fa58edd6e0c743193e0ccde52bbd9b7f,true,,success,
柯莱,柯莱,2268,https://wiki.hoyolab.com/pc/genshin/entry/2268?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2268?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/08/24/47826599/4044ca9dcb140f6729753d43024c8b54_6630693285572758608.png,Characters/Illustrations/Wish/柯莱_2268.png,PNG,image/png,image/png,1294,1293,1253455,592728c75efb4c8b96ca4e65fcdfac12d7fa23bb98591444c93510eb50aa6041,true,,success,
多莉,多莉,2269,https://wiki.hoyolab.com/pc/genshin/entry/2269?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2269?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/09/08/47826599/b4829d47e969136c6687890def3c629a_8077075652319267464.png,Characters/Illustrations/Wish/多莉_2269.png,PNG,image/png,image/png,1200,1200,1194513,cf6421b19eea06d674fc78264c535bcf336012c72a7ff9d2eee7beda42c28ab2,true,,success,
妮露,妮露,2812,https://wiki.hoyolab.com/pc/genshin/entry/2812?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2812?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/10/09/36540823/8bd1a35ff8d58654a3f9d727d081cdb9_4828029474032550444.png,Characters/Illustrations/Wish/妮露_2812.png,PNG,image/png,image/png,1200,1200,1558449,863aaa07fd10436f1e89431c8d7164995b4326de76c0e03ffa339f17f3d17d19,true,,success,
赛诺,赛诺,2813,https://wiki.hoyolab.com/pc/genshin/entry/2813?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2813?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/09/27/47826599/cb608014e47da4a071ab22cb11c76627_6713162327995465550.png,Characters/Illustrations/Wish/赛诺_2813.png,PNG,image/png,image/png,1200,1200,1430533,6dfbe79ba7a3c1b0342a28a1a8a79c1607607a156faf06174bd390529a0f6a24,true,,success,
坎蒂丝,坎蒂丝,2815,https://wiki.hoyolab.com/pc/genshin/entry/2815?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2815?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/09/28/47826599/776ac3df01b790ef95a4c1b0384e828b_5690986771522834253.png,Characters/Illustrations/Wish/坎蒂丝_2815.png,PNG,image/png,image/png,1200,1200,1147859,e47296ef3abc14b50d8504015b75643cd27cb1d84ce155042bc9a1aabd59b62d,true,,success,
纳西妲,纳西妲,2850,https://wiki.hoyolab.com/pc/genshin/entry/2850?lang=zh-cn,hoyowiki_detail_header_cover,https://wiki.hoyolab.com/pc/genshin/entry/2850?lang=zh-cn,https://upload-static.hoyoverse.com/hoyolab-wiki/2022/11/01/47826599/6e1e5196da96bd65e549abe7fa861915_3411839031089085040.png,Characters/Illustrations/Wish/纳西妲_2850.png,PNG,image/png,image/png,1291,1200,1944669,e93851043fddaa42de1c7a9cbbcbc4a849c3a9be093198b39e6b3a2c4186ff1a,true,,success,
